terms,valence,arousal
"['hope', 'enjoying', 'house', 'bought', 'socialism', 'feel', 'house', 'rest', 'go', 'taxes']",4.226591098180618,6.4939040197892055
"['political', 'made', 'sad', 'one', 'believed']",3.808891068413962,4.802944893949782
"['dear', 'best', 'happened', 'country', 'opportunity', 'go', 'waste', 'know', 'wont', 'read', 'make', 'quick', 'old', 'boy', 'interested', 'politics', 'heard', 'mom', 'talk', 'listened', 'liked', 'ideas', 'promote', 'went', 'rally', 'center', 'really', 'someone', 'like', 'president', 'even', 'win', 'still', 'use', 'water', 'bottle', 'lot', 'promote', 'try', 'word', 'even', 'make', 'inspired', 'help', 'ideas', 'inspired', 'hope', 'ideas', 'party', 'government', 'come']",4.725967716705862,6.043816998820599
"['biggest', 'time']",5.030151133501258,5.558918918918919
"['biggest', 'hero', 'lifetime']",5.155412710007305,6.843802363971587
"['time', 'get']",4.492024691358025,5.563032407407407
"['tried', 'hard', 'got']",6.110692124105012,5.433068362480127
"['still', 'love', 'made', 'us', 'proud']",4.689328432147809,6.522524842110624
"['useless', 'commie', 'poor', 'poor', 'excuse', 'poor', 'excuse', 'even', 'call']",4.1304066804543,4.333119271103008
"['real', 'leader']",4.49840579710145,6.704066852367688
"['cry', 'fucking', 'watch', 'feel', 'emotional']",5.9783392895073515,4.586259457844198
"['rip', 'genuine', 'sellout']",4.439765046027051,4.636654235244199
"['caught', 'face', 'believe', 'free', 'pay', 'college', 'great', 'question', 'know', 'wont', 'answer', 'one', 'friends', 'might', 'able', 'going', 'pay', 'college', 'question', 'answer', 'government', 'government', 'make', 'money']",4.240949213452412,6.057073666494183
"['used', 'consider', 'education', 'investment', 'country', 'investment', 'tell', 'likely', 'contribute', 'someone', 'making', 'wage', 'service', 'sector', 'college', 'educated', 'doctor', 'lawyer', 'nurse', 'engineer', 'investment', 'education', 'paid', 'back', 'taxes', 'better', 'able', 'buy', 'car', 'house', 'economy', 'person', 'making', 'wage', 'college', 'educated', 'person', 'better', 'employment', 'prospects', 'hate', 'break', 'paying', 'health', 'care', 'cover', 'people', 'get', 'health', 'care', 'pay', 'think', 'health', 'care', 'fairy', 'comes', 'paying', 'wasteful', 'manner']",4.490257298863047,5.983213757827625
"['cry', 'watching', 'time', 'man', 'leading', 'shameful', 'committed']",5.397936231414233,5.221472692677997
"['thank', 'support', 'tried', 'remember', 'best', 'put', 'best']",4.37279734492454,6.449805631720356
"['man', 'cries']",6.873989071038251,3.865846153846154
"['still', 'man']",6.005409836065574,5.17265306122449
"['reading', 'bad', 'please', 'return', 'time', 'machine', 'try']",5.451040243011086,5.395481842840179
"['makes', 'sad', 'president', 'president', 'hope']",3.7336587186517414,4.8673276830312915
"['sad', 'wont', 'win']",4.196303677940397,3.7665110156574757
"['wish', 'one', 'giving']",3.730837635817216,6.802929120409905
"['wonder', 'make', 'first']",4.276350306598234,6.749723502304148
"['still', 'found']",5.171616766467066,5.821739130434782
"['still', 'win', 'love', 'peace', 'read']",4.788055817078778,6.818677233667585
"['puts', 'good', 'puts', 'peace', 'makes', 'smile']",4.567999505997729,6.074508059458483
"['results', 'national', 'came', 'back', 'video', 'made', 'emotional', 'hold', 'back', 'hope', 'campaign', 'campaign', 'fighting', 'people', 'power', 'want', 'done', 'country', 'people', 'people', 'life', 'stories', 'came', 'supporting', 'extraordinary', 'promise', 'got', 'foundations', 'cheating', 'suggest', 'run', 'president', 'better', 'even', 'stay', 'really', 'care', 'people', 'throw', 'bus', 'time', 'raised', 'pay', 'check', 'disappointed', 'heartbroken']",5.172632026548032,5.666987917805124
"['feel', 'way', 'eyes', 'played', 'part', 'cried', 'whole', 'felt', 'good', 'supporters', 'bread', 'people', 'made', 'lot', 'friends', 'move', 'best', 'political']",4.865541284928449,5.86291197753595
"['primary', 'start', 'idiot', 'tried', 'torpedo', 'campaign', 'whole', 'bullshit', 'set', 'guarantee', 'cut', 'nose', 'spite', 'face', 'lose', 'shake', 'head', 'learn', 'lesson']",5.355281577206036,5.158337596068549
"['congratulations', 'enjoy', 'president', 'moron']",4.183655739479538,6.027361469189324
"['feel', 'sad', 'seeing', 'move', 'spirit']",4.979986573231641,5.071521741520213
"['master', 'jokes']",5.537119113573407,7.508702290076337
"['funny', 'cry', 'done']",5.512766613503456,6.099752159636271
"['stand', 'alone', 'beat', 'point', 'drop', 'trying', 'get', 'shape', 'think', 'serious', 'getting', 'released', 'problem', 'corrupt', 'lose', 'calling', 'tweeting', 'day', 'know', 'makes', 'million', 'us', 'started']",4.582791360664747,5.501552257352126
"['thank', 'kind', 'people', 'believed', 'make', 'believe']",4.467714979221121,7.048167029533354
"['man', 'time']",6.081075268817203,4.966086956521739
"['sure', 'research', 'fraud', 'racketeering', 'go', 'wont', 'research']",4.361595235919228,4.722725965160766
"['name', 'song', 'find']",4.604504249291784,6.29613965232592
"['gives', 'feels', 'still']",4.773289266603714,5.704472333143183
"['forget', 'screwed', 'us', 'certain', 'allowed', 'win']",4.277152473617106,5.461390525933399
"['movement', 'got', 'party', 'corrupt', 'core', 'even', 'rip', 'disgusting', 'political', 'perspective']",4.62111539886829,5.125082979089551
"['man', 'president', 'fuck']",5.319309100953804,5.137624725851933
"['tell', 'run', 'independent', 'win', 'run', 'going', 'win']",5.725497286462482,6.204588269446632
"['win', 'runs']",5.66418060200669,6.1327596439169145
"['hope', 'sin', 'win', 'president']",4.795814301004131,5.853753250691507
"['wonder', 'supporters', 'hate', 'idol', 'favorite']",5.507764876929542,5.221120614262673
"['please', 'support']",4.026611909650924,6.593089005235602
"['feel', 'burn', 'hell', 'feeling', 'burn', 'piece', 'crap', 'feeling', 'still', 'alive', 'finish', 'crap']",4.692896046137205,4.9567754240787565
"['socialism', 'pure', 'evil', 'evil', 'feed', 'socialism']",4.9260821068957945,4.769132133931149
"['even', 'watch', 'tearing']",4.7151327817413415,4.868770299664224
"['form', 'super', 'dollars', 'contributions', 'beat', 'campaign', 'contributions', 'contribute', 'contribute', 'campaign']",4.980544031744371,5.946770938713518
"['play', 'game', 'break']",4.302035008122285,6.602979954470722
"['best', 'united', 'president', 'give', 'simple', 'answer', 'peace', 'war', 'greedy', 'rich', 'greedy']",4.562837046680949,5.729475670936817
"['bad', 'sold', 'supporters']",6.111123737435317,5.063193704792942
"['look', 'like', 'supporters', 'got', 'burned', 'last', 'dollars', 'gave', 'sold', 'fell']",5.493778430874975,5.619127278578007
"['nice', 'guy', 'fascism', 'support', 'national', 'supports', 'ideas', 'open', 'hay', 'kidding', 'real', 'go', 'rally', 'read', 'real', 'president']",4.5040253175119505,6.188096071190237
"['hell', 'like', 'wrote', 'grammar', 'worse', 'support', 'ideas', 'telling', 'real', 'guy', 'run', 'come', 'man', 'real', 'president']",4.829139962914385,5.910486775401355
"['right', 'like', 'get', 'pass', 'give', 'pass', 'well', 'fix', 'economy', 'big', 'government', 'building', 'hell', 'grow', 'economy', 'like', 'unions', 'high', 'paying', 'government', 'contracts', 'backs', 'support', 'open', 'borders', 'party', 'bed', 'big', 'corps', 'wealth', 'us', 'party', 'guns', 'right', 'us', 'sure', 'support', 'second', 'run', 'fast', 'party', 'destruction']",4.607652936581556,5.882247178376603
"['fox', 'news', 'view', 'fight', 'campaign', 'name', 'start', 'win', 'even', 'show', 'showing', 'empty', 'run', 'hate', 'guys', 'fox', 'news', 'living', 'proof', 'well', 'fox', 'views', 'full', 'shit', 'lies']",5.053149614610772,5.537401867102929
"['prime', 'wants', 'pass']",4.606831101913249,5.91946297803092
"['control', 'us', 'time', 'news', 'corporation', 'universal', 'big', 'news', 'like', 'new', 'times', 'post', 'angeles', 'liberal', 'news', 'chief', 'political', 'finds', 'time', 'foreign', 'relations', 'meetings', 'involve', 'government', 'leaders', 'prominent', 'members', 'intelligence', 'free', 'like', 'married', 'us', 'james', 'husband', 'bills', 'served', 'john', 'goes', 'gets', 'time', 'pass', 'gets', 'scrutiny', 'gets', 'free', 'pass']",5.151155546097242,5.842741756637494
"['knows', 'takes', 'seat', 'one', 'man']",5.169989010901219,5.206024491066505
"['telling', 'get', 'special', 'fox', 'news', 'viewers', 'news', 'influence', 'people', 'bullshit', 'good', 'fox', 'news', 'bash', 'ignore', 'fox', 'news']",5.328013290580919,5.3640741359561
"['think', 'fox', 'news', 'viewers', 'news', 'liberal', 'education', 'stacks', 'deck', 'view', 'hang', 'argument', 'bash', 'rest', 'great', 'respect']",4.808494353163076,5.700136283840685
"['mentioned', 'one', 'list', 'mentioned', 'well', 'news', 'calling', 'fox', 'news', 'fair', 'shows', 'incredible']",4.650800768871739,6.000085583198419
"['liberal', 'holly', 'cow', 'liberal', 'bias', 'big', 'decide', 'events', 'stories', 'covered', 'bias', 'liberal', 'standards', 'journalism', 'racist', 'support', 'men', 'girls', 'locker', 'rooms', 'showers', 'women', 'allow', 'murder', 'babies', 'dangerous', 'come', 'idea', 'bias', 'way', 'war', 'people']",4.835154201629848,5.263803106152169
"['hell', 'side', 'part', 'read', 'good', 'fox', 'news', 'bash', 'ignore', 'fox', 'news', 'trying', 'inform', 'news', 'favor', 'party', 'well', 'bias', 'liberal', 'deny', 'bias', 'flip', 'arguments', 'making', 'side', 'talk', 'issues', 'side', 'example', 'forget', 'church', 'separated', 'supports', 'gay', 'marriage', 'ignore', 'voice', 'calling', 'gay', 'marriage', 'see', 'problem', 'reasoning', 'propaganda', 'bias', 'level', 'propaganda', 'bias', 'liberal', 'despise', 'side', 'apparently', 'care', 'source', 'information', 'like', 'even', 'untrue']",4.698416297959696,5.270854673459344
"['bias', 'left', 'ill', 'tell', 'right', 'news', 'show', 'ill', 'show', 'liberal', 'think', 'get', 'meaning', 'federal', 'government', 'citizen', 'hearing', 'tell', 'public', 'opinion', 'right', 'want', 'people', 'make', 'law', 'free', 'exercise', 'supports', 'gay', 'marriage', 'level', 'ignore', 'voice', 'calling', 'marriage', 'man', 'woman', 'federal', 'government', 'social', 'engineering', 'way', 'people', 'think', 'supports', 'gay', 'marriage', 'truth', 'right', 'wrong', 'morality', 'ethics', 'patriotism', 'getting', 'sorry', 'write', 'posts']",4.776983743153545,5.602665727762064
"['sold', 'burned', 'coat', 'go', 'green']",5.586456730485057,5.364378999652801
"['way', 'represents', 'looking', 'party', 'take', 'chance', 'worst', 'going', 'liar', 'interesting', 'summer', 'hate']",5.454262106787691,5.042732706780834
"['leave', 'us']",3.8199999999999994,5.85
"['course', 'gone', 'shit']",5.4108871989860585,4.380201408376131
"['party', 'sell', 'time', 'accept', 'party', 'failure', 'move', 'folks', 'join', 'us']",5.083631143260287,5.703956568220445
"['depressing', 'watch']",4.620386740331492,3.1985826771653545
"['still', 'find', 'inspiring']",4.803132608151669,6.269710164648251
"['watched', 'unarmed', 'man', 'get', 'shot', 'death', 'officer', 'daughter', 'sat', 'sure', 'wont', 'see', 'jail', 'prison']",4.475522191719294,4.363874909775171
"['absolutely', 'right', 'fucking', 'train', 'wreck']",5.137356596864132,4.6489050138669255
"['found', 'depressing', 'watch', 'thank', 'god', 'inflict', 'sort', 'bullshit', 'reason', 'even', 'acceptable', 'time', 'alternative', 'worse']",4.946345562474622,5.196471211489733
"['stop', 'hurts']",5.452161654135338,2.971496062992126
"['cried', 'saw', 'tv', 'cry', 'crying', 'important', 'date', 'screwed', 'ways']",5.557886425478479,4.633917453242677
"['last', 'hope']",4.1370588235294115,7.093305084745763
"['one', 'top', 'life', 'source']",4.164472038050068,6.247005479697627
"['best', 'going', 'make', 'great', 'people', 'education', 'thank', 'nice', 'us', 'got', 'going', 'win']",4.95077326670742,6.472948040758346
"['tell', 'selling', 'support']",5.154177222604595,5.85575774725654
"['love', 'thanks', 'visiting']",5.000133924834686,7.379072093060113
"['wow', 'love', 'weak', 'please', 'go', 'guy', 'ill']",5.221167771509927,5.455914357958185
"['fear', 'integrity', 'progressive', 'legacy']",4.58396280185711,5.702311581816625
"['come', 'look', 'side', 'looking']",5.076054277325282,5.564411681554052
"['forget', 'bear']",4.8772455089820355,4.601054313099041
"['like', 'antichrist', 'played', 'great']",4.8186960553453675,5.999905055353829
"['world', 'burn', 'make', 'point', 'party', 'hell']",4.948982319022428,5.359416344453878
